field_1,Lat,Long,spp,LocID,endoprev,data_origi,PRISMppt30y,PRISMtmean3
"1",29.2444444440,-103.2977777800,Festuca_ligulata,"56",1.0000000000,rudgers2009,499.2799987800,14.1133337020
"2",29.2700000000,-103.2769444400,Achnatherum_eminens,"1",0.8165000000,rudgers2009,499.2799987800,14.1133337020
"3",29.2700000000,-103.2766666700,Achnatherum_lobatum,"2",1.0000000000,rudgers2009,499.2799987800,14.1133337020
"4",29.5900000000,-97.5800000000,Elymus_virginicus,"10",0.9600000000,sneck,883.5100097700,20.6491661070
"5",29.6728330000,-96.5675170000,Agrostis_hyemalis,COHR,0.9411764706,ecolab,1092.6999512000,20.5087490080
"6",29.6728330000,-96.5675170000,Lolium_perenne,COHR,0.5454545455,ecolab,1092.6999512000,20.5087490080
"7",29.7100000000,-95.4000000000,Elymus_virginicus,"21",0.7600000000,sneck,1308.9200439000,21.1108341220
"8",29.7220000000,-95.4180000000,Agrostis_hyemalis,KP15,0.7631578947,ecolab,1308.9200439000,21.1108341220
"9",29.7220000000,-95.4180000000,Agrostis_hyemalis,KP18,0.6000000000,ecolab,1308.9200439000,21.1108341220
"10",29.7260000000,-95.6870000000,Agrostis_hyemalis,GBP15,0.8928571429,ecolab,1246.5600586000,20.9166660310
"11",29.8300000000,-99.5900000000,Elymus_canadensis,"7",1.0000000000,sneck,795.9600219700,18.1654167180
"12",30.0238888890,-95.2927777780,Poa_autumnalis,"88",1.0000000000,rudgers2009,1319.1900635000,20.6541671750
"13",30.0516666670,-97.9647222220,Festuca_versuta,"69",0.7270000000,rudgers2009,899.5300293000,19.9462509160
"14",30.0853830000,-97.1725080000,Agrostis_hyemalis,LPEF,0.7894736842,ecolab,950.3300170900,20.1025009160
"15",30.0910000000,-97.4991000000,Agrostis_hyemalis,LP15,0.0000000000,ecolab,895.3400268600,19.9200000760
"16",30.1231270000,-97.2949840000,Agrostis_hyemalis,BST,0.0000000000,ecolab,913.9000244100,20.0979156490
"17",30.1376380000,-95.1687750000,Poa_autumnalis,LHWP,0.8214285714,ecolab,1336.1500244000,20.4337501530
"18",30.1408333330,-97.8541666670,Festuca_versuta,"68",0.9290000000,rudgers2009,896.1300048800,19.9937496190
"19",30.1513888890,-97.8883333330,Elymus_canadensis,"24",0.4500000000,rudgers2009,891.1199951200,19.9174995420
"20",30.1513888890,-97.8883333330,Elymus_virginicus,"55",0.0000000000,rudgers2009,891.1199951200,19.9174995420
"21",30.1513888890,-97.8883333330,Festuca_versuta,"71",0.9335000000,rudgers2009,891.1199951200,19.9174995420
"22",30.1519444440,-97.8855555560,Festuca_versuta,"70",0.9710000000,rudgers2009,891.1199951200,19.9174995420
"23",30.1800000000,-97.7200000000,Elymus_virginicus,"9",0.7400000000,sneck,873.8800048800,20.0283336640
"24",30.2285210000,-96.6150860000,Agrostis_hyemalis,WSH,0.0000000000,ecolab,1010.1099854000,20.1420822140
"25",30.2352073000,-98.2522089000,NASP,BLN,0.0000000000,ecolab,839.3099975600,19.3441677090
"26",30.3062560000,-95.6406700000,Agrostis_hyemalis,MNT,0.1304347826,ecolab,1211.6300049000,19.9870834350
"27",30.3062560000,-95.6406700000,NASP,MNT,0.0000000000,ecolab,1211.6300049000,19.9870834350
"28",30.3145850000,-97.1130050000,ERSP,LEE,0.0000000000,ecolab,907.2000122100,19.9154167180
